,Code,Country,1970,1980,1990,2000,2010,2015,2020,2022,Area (km2),Density (2022),GrowthRate,World Population Percentage,Rank
0,AFG,Afghanistan,10753000000,12487000000,10695000000,19543000000,28190000000,33753000000,38972000000,41129000000,652230,63.0587,1.03,0.52,36
1,ALB,Albania,2325000000,2942000000,3295000000,3182000000,2913000000,2882000000,2867000000,2842000000,28748,98.8702,1.0,0.04,138
2,DZA,Algeria,13796000000,18739000000,25518000000,30775000000,35856000000,39543000000,43452000000,44903000000,2381741,18.8531,1.02,0.56,34
3,ASM,American Samoa,27000000,33000000,48000000,58000000,55000000,51000000,46000000,44000000,199,222.4774,0.98,0.0,213
4,AND,Andorra,20000000,36000000,54000000,66000000,72000000,72000000,78000000,80000000,468,170.5641,1.01,0.0,203
5,AGO,Angola,6030000000,8330000000,11829000000,16394000000,23364000000,28128000000,33428000000,35589000000,1246700,28.5466,1.03,0.45,42
6,AIA,Anguilla,6000000,7000000,8000000,11000000,13000000,15000000,16000000,16000000,91,174.2527,1.01,0.0,224
7,ATG,Antigua and Barbuda,65000000,65000000,63000000,75000000,86000000,90000000,93000000,94000000,442,212.1335,1.01,0.0,201
8,ARG,Argentina,23843000000,28025000000,32638000000,37071000000,41100000000,43257000000,45036000000,45510000000,2780400,16.3683,1.01,0.57,33
9,ARM,Armenia,2534000000,3135000000,3557000000,3169000000,2946000000,2879000000,2806000000,2780000000,29743,93.4831,1.0,0.03,140
10,ABW,Aruba,59000000,62000000,66000000,89000000,100000000,104000000,107000000,106000000,180,591.3611,1.0,0.0,198
11,AUS,Australia,12595000000,14706000000,17048000000,19018000000,22019000000,23820000000,25670000000,26177000000,7692024,3.4032,1.01,0.33,55
12,AUT,Austria,7465000000,7548000000,7679000000,8010000000,8363000000,8642000000,8908000000,8940000000,83871,106.5877,1.0,0.11,99
13,AZE,Azerbaijan,5425000000,6383000000,7428000000,8190000000,9237000000,9863000000,10285000000,10358000000,86600,119.6082,1.0,0.13,91
14,BHS,Bahamas,179000000,224000000,271000000,325000000,373000000,393000000,406000000,410000000,13943,29.4043,1.01,0.01,176
15,BHR,Bahrain,223000000,363000000,517000000,711000000,1214000000,1362000000,1477000000,1472000000,765,1924.4876,1.01,0.02,154
16,BGD,Bangladesh,67542000000,83930000000,107148000000,129193000000,148391000000,157830000000,167421000000,171186000000,147570,1160.035,1.01,2.15,8
17,BRB,Barbados,241000000,254000000,259000000,265000000,275000000,278000000,281000000,282000000,430,654.9651,1.0,0.0,186
18,BLR,Belarus,9171000000,9817000000,10429000000,10256000000,9731000000,9701000000,9634000000,9535000000,207600,45.9295,1.0,0.12,96
19,BEL,Belgium,9629000000,9829000000,9960000000,10264000000,10878000000,11248000000,11562000000,11656000000,30528,381.8111,1.0,0.15,81
20,BLZ,Belize,121000000,145000000,183000000,240000000,322000000,360000000,395000000,405000000,22966,17.6466,1.01,0.01,177
21,BEN,Benin,3023000000,3834000000,5133000000,6998000000,9446000000,10933000000,12643000000,13353000000,112622,118.5635,1.03,0.17,77
22,BMU,Bermuda,52000000,54000000,57000000,61000000,63000000,63000000,64000000,64000000,54,1188.5926,1.0,0.0,206
23,BTN,Bhutan,299000000,415000000,558000000,587000000,706000000,743000000,773000000,782000000,38394,20.3796,1.01,0.01,165
24,BOL,Bolivia,4586000000,5736000000,7096000000,8593000000,10223000000,11090000000,11936000000,12224000000,1098581,11.1272,1.01,0.15,80
25,BIH,Bosnia and Herzegovina,3816000000,4200000000,4494000000,4179000000,3811000000,3524000000,3318000000,3234000000,51209,63.1437,0.99,0.04,137
26,BWA,Botswana,592000000,939000000,1341000000,1727000000,2092000000,2305000000,2546000000,2630000000,582000,4.5194,1.02,0.03,144
27,BRA,Brazil,96370000000,122288000000,150706000000,175874000000,196353000000,205188000000,213196000000,215313000000,8515767,25.2841,1.0,2.7,7
28,VGB,British Virgin Islands,10000000,11000000,16000000,20000000,28000000,29000000,31000000,31000000,151,207.3179,1.01,0.0,221
29,BRN,Brunei,133000000,188000000,262000000,334000000,396000000,421000000,442000000,449000000,5765,77.8841,1.01,0.01,175
30,BGR,Bulgaria,8583000000,8981000000,8768000000,8098000000,7592000000,7309000000,6979000000,6782000000,110879,61.1654,0.98,0.09,108
31,BFA,Burkina Faso,5612000000,6933000000,9131000000,11883000000,16117000000,18718000000,21523000000,22674000000,272967,83.0641,1.03,0.28,58
32,BDI,Burundi,3498000000,4313000000,5484000000,6308000000,9127000000,10727000000,12220000000,12890000000,27834,463.0874,1.03,0.16,78
